date,season,game_pk,pitcher_id,pitcher_name,team,opponent,home_away,line,bet_side,odds,model_prob,implied_prob,edge,predicted_mean,simulated_mean,simulated_median,simulated_std,recommended_units,kelly_units,actual_strikeouts,bet_result,profit_units,settled
2026-04-08,2026,823000,607067,Colin Rea,CHC,TB,1,3.5,over,114.0,0.674,0.4673,0.2067,4.888,4.808,5,2.436,2.0,0.97,,,,False
2026-04-08,2026,824617,680732,Sean Burke,CWS,BAL,0,5.5,under,110.0,0.649,0.4762,0.1728,4.876,4.852,5,2.432,2.0,0.82,,,,False
2026-04-08,2026,823403,650633,Michael King,SD,PIT,1,5.5,under,-102.0,0.63,0.505,0.125,4.885,4.939,5,2.505,1.5,0.63,,,,False
2026-04-08,2026,823234,641816,Tyler Mahle,SF,PHI,0,4.5,under,-125.0,0.634,0.5556,0.0784,4.033,3.961,4,2.218,1.0,0.44,,,,False
2026-04-08,2026,824374,664299,Cristian Javier,HOU,COL,1,4.5,over,124.0,0.521,0.4464,0.0746,4.922,4.853,5,2.397,0.5,0.34,,,,False
2026-04-08,2026,824455,676282,Joey Cantillo,CLE,KC,0,5.5,under,-154.0,0.679,0.6063,0.0727,4.665,4.699,4,2.394,0.5,0.46,,,,False
2026-04-08,2026,822833,656302,Dylan Cease,TOR,LAD,0,6.5,under,110.0,0.546,0.4762,0.0698,6.326,6.39,6,2.899,0.5,0.33,,,,False
2026-04-08,2026,823885,691587,Eury Pérez,MIA,CIN,0,6.5,under,-132.0,0.635,0.569,0.066,5.853,5.791,6,2.779,0.5,0.38,,,,False
2026-04-08,2026,824374,547179,Michael Lorenzen,COL,HOU,0,3.5,over,-130.0,0.63,0.5652,0.0648,4.329,4.477,4,2.414,0.5,0.37,,,,False
2026-04-08,2026,822753,700241,Michael McGreevy,STL,WSH,1,3.5,over,-114.0,0.586,0.5327,0.0533,4.248,4.168,4,2.277,0.5,0.29,,,,False
