date,season,game_pk,pitcher_id,pitcher_name,team,opponent,home_away,line,bet_side,odds,model_prob,implied_prob,edge,predicted_mean,simulated_mean,simulated_median,simulated_std,recommended_units,kelly_units,actual_strikeouts,bet_result,profit_units,settled
2026-04-01,2026,825106,668678,Zac Gallen,AZ,DET,0,5.5,under,112.0,0.707,0.4717,0.2353,4.34,4.368,4,2.31,2.0,1.11,,,,False
2026-04-01,2026,823806,656876,Drew Rasmussen,TB,MIL,1,4.5,under,-118.0,0.732,0.5413,0.1907,3.414,3.431,3,1.999,2.0,1.04,,,,False
2026-04-01,2026,823321,605288,Adrian Houser,SF,SD,1,3.5,over,-125.0,0.724,0.5556,0.1684,5.063,5.109,5,2.49,2.0,0.95,,,,False
2026-04-01,2026,825106,669373,Tarik Skubal,DET,AZ,1,6.5,under,108.0,0.644,0.4808,0.1632,5.865,5.8,5,2.744,2.0,0.79,,,,False
2026-04-01,2026,823483,676917,Cade Cavalli,WSH,PHI,1,4.5,over,-102.0,0.668,0.505,0.163,5.697,5.844,6,2.729,2.0,0.82,,,,False
2026-04-01,2026,824536,671096,Andrew Abbott,CIN,PIT,0,5.5,under,-112.0,0.677,0.5283,0.1487,4.469,4.512,4,2.4,1.5,0.79,,,,False
2026-04-01,2026,823157,693645,Cam Schlittler,NYY,SEA,1,5.5,over,-144.0,0.735,0.5902,0.1448,7.561,7.597,7,3.068,1.5,0.88,,,,False
2026-04-01,2026,824536,694973,Paul Skenes,PIT,CIN,1,7.5,under,-132.0,0.696,0.569,0.127,6.191,6.15,6,2.908,1.5,0.74,,,,False
2026-04-01,2026,823806,694819,Jacob Misiorowski,MIL,TB,0,6.5,over,100.0,0.624,0.5,0.124,7.784,7.775,7,3.009,1.5,0.62,,,,False
2026-04-01,2026,824860,543135,Nathan Eovaldi,TEX,BAL,1,5.5,over,-168.0,0.743,0.6269,0.1161,7.699,7.762,8,3.155,1.5,0.78,,,,False
2026-04-01,2026,823321,601713,Nick Pivetta,SD,SF,0,5.5,under,128.0,0.55,0.4386,0.1114,5.551,5.422,5,2.651,1.5,0.5,,,,False
2026-04-01,2026,824211,681347,Mike Burrows,HOU,BOS,0,5.5,under,-114.0,0.636,0.5327,0.1033,4.943,4.84,5,2.451,1.5,0.55,,,,False
2026-04-01,2026,823157,669923,George Kirby,SEA,NYY,0,7.5,under,-178.0,0.726,0.6403,0.0857,5.8,5.874,6,2.793,1.0,0.6,,,,False
2026-04-01,2026,823889,681343,Shane Smith,CWS,MIA,1,4.5,over,100.0,0.576,0.5,0.076,5.393,5.26,5,2.558,1.0,0.38,,,,False
2026-04-01,2026,822835,607536,Kyle Freeland,COL,TOR,1,3.5,over,100.0,0.57,0.5,0.07,4.038,4.093,4,2.211,0.5,0.35,,,,False
2026-04-01,2026,823078,669461,Matthew Liberatore,STL,NYM,0,3.5,under,118.0,0.525,0.4587,0.0663,3.583,3.564,3,2.051,0.5,0.31,,,,False
2026-04-01,2026,822835,592332,Kevin Gausman,TOR,COL,0,7.5,over,116.0,0.529,0.463,0.066,7.914,8.014,8,3.267,0.5,0.31,,,,False
2026-04-01,2026,824698,579328,Yusei Kikuchi,LAA,CHC,1,4.5,under,102.0,0.556,0.495,0.061,4.364,4.441,4,2.345,0.5,0.3,,,,False
2026-04-01,2026,823078,642547,Freddy Peralta,NYM,STL,1,6.5,over,116.0,0.515,0.463,0.052,6.789,6.93,7,2.989,0.5,0.24,,,,False
